title,salary,date_posted,location,closing_date,days_open,posted_month,posted_year,closing_month,closing_year
t l conseiller e soci t fran aisejom talents recrutement ltd,25500.0,2025-09-03,plaine wilhems,2025-10-03,30,9,2025,10,2025
company secretarial assistantexecutive services limited,25500.0,2025-09-03,port louis,2025-10-03,30,9,2025,10,2025
bilingual customer service representatives en fr apollo blake,25500.0,2025-08-15,mauritius,2025-09-14,30,8,2025,9,2025
fast food operativesexotic group,25500.0,2025-09-03,mauritius,2025-10-03,30,9,2025,10,2025
t l vendeur d butant vente entrante site ebeneeuro crm mauritius ltd,15000.0,2025-08-26,plaine wilhems,2025-09-25,30,8,2025,9,2025
conseillers support helpdesk march fran aiseuro crm mauritius ltd,15000.0,2025-08-22,moka,2025-09-21,30,8,2025,9,2025
televendeur h f senioreuro crm mauritius ltd,15000.0,2025-08-06,moka,2025-09-05,30,8,2025,9,2025
r e c e p t i o n i s t quantum insurance ltd,15000.0,2025-09-03,plaine wilhems,2025-10-03,30,9,2025,10,2025
photo video content creatorrm club,35500.0,2025-09-03,riviere du rempart,2025-10-03,30,9,2025,10,2025
assistance client le pour helpdesk avec sans exp rience r ception d appels euro crm mauritius ltd,15000.0,2025-08-22,moka,2025-09-21,30,8,2025,9,2025
t l vendeur avec ou sans exp rienceeuro crm mauritius ltd,15000.0,2025-08-26,plaine wilhems,2025-09-25,30,8,2025,9,2025
banqueting wedding assistantmaritim resorts spa,25500.0,2025-09-03,pamplemousses,2025-09-14,11,9,2025,9,2025
assistant banqueting event managermaritim resorts spa,25500.0,2025-09-03,pamplemousses,2025-09-14,11,9,2025,9,2025
assistant manager hostone only le saint geran,35500.0,2025-09-03,flacq,2025-10-03,30,9,2025,10,2025
customer success officerhardy henry services ltd hardy henry group ,25500.0,2025-09-03,port louis,2025-10-03,30,9,2025,10,2025
charg de client le en r ception d appels primes mensuelles assur es et d plafonn es selonsoftware activities and images management limited,25500.0,2025-08-11,plaine wilhems,2025-09-10,30,8,2025,9,2025
customer success championservecalls ltd,25500.0,2025-08-11,port louis,2025-09-10,30,8,2025,9,2025
customer service operativeservecalls ltd,15000.0,2025-08-28,port louis,2025-09-27,30,8,2025,9,2025
r e c e p t i o n i s t hidden company,25500.0,2025-09-03,pamplemousses,2025-10-03,30,9,2025,10,2025
front officerhibiscus boutique hotel,15000.0,2025-09-03,riviere du rempart,2025-10-03,30,9,2025,10,2025
shop managervestione,25500.0,2025-09-03,mauritius,2025-10-03,30,9,2025,10,2025
sales responsable rayonvestione,15000.0,2025-09-03,mauritius,2025-10-03,30,9,2025,10,2025
content editorial specialistfleeti tracking ltd,45500.0,2025-09-03,moka,2025-09-20,17,9,2025,9,2025
agent t l op rateurrehuma,25500.0,2025-09-02,port louis,2025-10-02,30,9,2025,10,2025
t l v e n d e u r service plus monde spm lt e,35500.0,2025-09-02,port louis,2025-10-02,30,9,2025,10,2025
conseiller d veloppement commercial h f service plus monde spm lt e,35500.0,2025-09-02,port louis,2025-10-02,30,9,2025,10,2025
technical pool stp operator aqua science and technology ltd taylor smith group,15000.0,2025-09-02,flacq,2025-10-02,30,9,2025,10,2025
f r o n t l i n e r w a i t e r casela nature parks,15000.0,2025-09-02,black river,2025-10-02,30,9,2025,10,2025
animal keepercasela nature parks,15000.0,2025-09-02,black river,2025-10-02,30,9,2025,10,2025
maintenance assistantcasela nature parks,15000.0,2025-09-02,black river,2025-10-02,30,9,2025,10,2025
officer corporate servicespleion consulting ltd,35500.0,2025-09-02,plaine wilhems,2025-10-02,30,9,2025,10,2025
customer service representativecasela nature parks,15000.0,2025-09-02,black river,2025-10-02,30,9,2025,10,2025
guide quad zipline casela nature parks,15000.0,2025-09-02,black river,2025-10-02,30,9,2025,10,2025
senior it officerpleion consulting ltd,45500.0,2025-09-02,plaine wilhems,2025-10-02,30,9,2025,10,2025
money processing operatorbrink s mauritius,15000.0,2025-09-02,mauritius,2025-10-02,30,9,2025,10,2025
gestionnaire comptable fournisseur client d butant ids ltd,15000.0,2025-09-02,plaine wilhems,2025-10-02,30,9,2025,10,2025
technicien support informatiqueids ltd,35500.0,2025-09-02,plaine wilhems,2025-10-02,30,9,2025,10,2025
indoor salesgirlsik yuen,15000.0,2025-09-02,plaine wilhems,2025-10-02,30,9,2025,10,2025
cook canteen the address boutique hotelninety six hotel collection,15000.0,2025-09-02,pamplemousses,2025-10-02,30,9,2025,10,2025
service plannerhardy henry services ltd hardy henry group ,25500.0,2025-09-02,port louis,2025-10-02,30,9,2025,10,2025
it supervisorgroupe beau vallon,35500.0,2025-09-02,mauritius,2025-10-02,30,9,2025,10,2025
office clerkavscongres ltd,25500.0,2025-09-02,port louis,2025-09-05,3,9,2025,9,2025
junior it officerpleion consulting ltd,25500.0,2025-09-02,plaine wilhems,2025-10-02,30,9,2025,10,2025
kitchen steward labourdonnais waterfront hotelninety six hotel collection,15000.0,2025-09-02,plaine wilhems,2025-10-02,30,9,2025,10,2025
contr leur de gestionoutremer telecom digital solutions,35500.0,2025-09-02,plaine wilhems,2025-10-02,30,9,2025,10,2025
assistant financial accountantciel textile group,35500.0,2025-09-02,plaine wilhems,2025-09-20,18,9,2025,9,2025
reservation agenthilton mauritius resort spa,15000.0,2025-09-02,black river,2025-10-02,30,9,2025,10,2025
c o o k hilton mauritius resort spa,15000.0,2025-09-02,black river,2025-10-02,30,9,2025,10,2025
assistant commercial agent de prise de rendez vous b to b linkeo ltd,15000.0,2025-09-02,plaine wilhems,2025-10-02,30,9,2025,10,2025
t e l l e r bishopston ltd,15000.0,2025-09-02,plaine wilhems,2025-10-02,30,9,2025,10,2025
gestionnaire de rendez vousatalian interactive ltd,25500.0,2025-09-02,port louis,2025-10-02,30,9,2025,10,2025
counter sales clerkraffray brothers co ltd,25500.0,2025-09-02,port louis,2025-10-02,30,9,2025,10,2025
assistant e s managervestione,25500.0,2025-09-02,mauritius,2025-10-02,30,9,2025,10,2025
production planning supportciel textile group,15000.0,2025-09-02,plaine wilhems,2025-09-20,18,9,2025,9,2025
customer experience advisor join us and receive a mur welcome bonusconcentrix cvg mauritius ltd,25500.0,2025-09-02,plaine wilhems,2025-10-02,30,9,2025,10,2025
corporate travel executive welcome bonus equivalent to one month s salaryconcentrix cvg mauritius ltd,25500.0,2025-09-02,plaine wilhems,2025-10-02,30,9,2025,10,2025
customer service executive entertainment industry night shift english onlyconcentrix cvg mauritius ltd,25500.0,2025-09-02,plaine wilhems,2025-10-02,30,9,2025,10,2025
guest specialist hospitality industryconcentrix cvg mauritius ltd,25500.0,2025-09-02,plaine wilhems,2025-10-02,30,9,2025,10,2025
assistante comptable administrationags frasers mauritius ltd,35500.0,2025-09-01,pamplemousses,2025-10-01,30,9,2025,10,2025
insurance sales consultantshe recruits pty ltd,88000.0,2025-09-01,riviere du rempart,2025-10-01,30,9,2025,10,2025
