id,job_id,title,sector,employer,country,closing_date,summary
5169,46018,Housemaid,Private Household,PRAVESH JUGESSUR,Mauritius,10.09.2025,"CLEANING, COOKING, IRONING, MANAGE HOUSE, BUYING VEGITABLE, DUSTING, GROOMING MOPING"
5170,46017,"Machine Operator, Sewing",Manufacturing-Textile & Wearing Apparel,TEXTILAMA MANUFACTURING LTD,Mauritius,06.09.2025,A GOOD KNOWLEDGE OF GARMENT SEWING ON INDUSTRIAL SEWING MACHINES.
5171,46016,Administrative Assistant,Management Consultancy Activities,SOFT SKILLS CONSULTANTS (MAURITIUS) LTD,Mauritius,30.09.2025,"We are a dynamic training and consulting organisation, passionate about people development. We are now looking for an Admin Assistant to join our team and support daily operations.Why Join Us?Be part of a small, friendly team.Gain exposure to both office admin and client support.Learn and grow in a professional environment."
5172,46015,"Mechanic,Motor Cycle",Cleaning Services,MEHREEN NATURE LOVER LTD,Mauritius,10.09.2025,Inspect and repair motorcyclesReplace faulty partsPerform regular maintenanceEnsure safety and performance standards
5173,46014,Maid,Private Household,MRS HOSSEN MISBAAH ZAHRAH ABDULLAH MOHAMED,Mauritius,08.09.2025,"maintaining a clean, tidy, and well-ordered home by performing cleaning and household chores. Key duties include dusting, vacuuming, mopping floors, cleaning bathrooms and kitchens, doing laundry and changing linens, and organizing storage areas."
5174,46013,Gardener,Private Household,MRS. CECILE LEONG SON,Madagascar,10.09.2025,General Gardening
5175,46012,Housemaid,Private Household,MRS. CECILE LEONG SON,Madagascar,10.09.2025,Household maid
5176,46011,Gardener,Private Household,M. P. BERNARD LEONG SON,Mauritius,10.09.2025,General gardening
5177,46010,Housemaid,Private Household,M. P. BERNARD LEONG SON,Mauritius,10.09.2025,Household Employee
5178,46009,Helper,Manufacturing-Other,SEZWAN CO LTD,Mauritius,20.09.2025,Assist in loading and unloading goods from delivery vehicle.
5179,46008,Assistant Cook,Restaurant,TIPO AGENCY LTD,Mauritius,06.10.2025,Assistant cook is needed to in the following places:TIPO Grillade Co Ltd - Port LouisTIPO Grillade (Beau Bassin) Co Ltd - Beau BassinTIPO Grillade (Grand Baie) Co Ltd - Grand BaieTIPO Grillade (LKT) Co Ltd - la Tour Koenig
5180,46007,Attendant,Restaurant,TIPO AGENCY LTD,Mauritius,06.10.2025,Snack Attendant is needed to in the following places:TIPO Grillade Co Ltd - Port LouisTIPO Grillade (Beau Bassin) Co Ltd - Beau BassinTIPO Grillade (Grand Baie) Co Ltd - Grand BaieTIPO Grillade (LKT) Co Ltd - la Tour Koenig
5181,46006,Cashier,Restaurant,TIPO AGENCY LTD,Mauritius,06.10.2025,Cashier is needed to handle all sales at counter in the following places:TIPO Grillade Co Ltd - Port LouisTIPO Grillade (Beau Bassin) Co Ltd - Beau BassinTIPO Grillade (Grand Baie) Co Ltd - Grand BaieTIPO Grillade (LKT) Co Ltd - la Tour Koenig
5182,46005,Chef cuisinier,Restaurant,TIPO AGENCY LTD,Mauritius,06.10.2025,Chef cuisinier is needed for our Kitchen in the following places:TIPO Grillade Co Ltd - Port LouisTIPO Grillade (Beau Bassin) Co Ltd - Beau BassinTIPO Grillade (Grand Baie) Co Ltd - Grand BaieTIPO Grillade (LKT) Co Ltd - la Tour Koenig
5183,46004,Plumber,Manufacturing-Other,INNODIS LTD,Mauritius,20.09.2025,"Install, repair, and maintain pipes, valves, fittings, drainage systems, and fixtures"
5184,46003,Electrical Assembler,Construction,ENGINEO LTD,Mauritius,15.10.2025,"The Electrical Builder is responsible for installing, maintaining, and repairing electrical systems in residential, commercial, or industrial construction projects. The role ensures that electrical wiring, circuits, panels, and fixtures are safely and efficiently installed according to building codes and project specifications."
5185,46002,Air Conditioner Installer,Construction,ENGINEO LTD,Mauritius,15.10.2025,"The Air Conditioning Installer is responsible for installing, maintaining, and repairing air conditioning systems in residential, commercial, or industrial settings. The role ensures proper system functionality, efficiency, and compliance with safety and manufacturer standards."
5186,46001,Welder,Construction,ENGINEO LTD,Mauritius,15.10.2025,"The Welder is responsible for joining, fabricating, and repairing metal components using various welding techniques. This role ensures high-quality, precise, and safe work in accordance with technical specifications and safety standards."
5187,46000,Plumber,Construction,ENGINEO LTD,Mauritius,15.10.2025,"The Plumber is responsible for installing, repairing, and maintaining plumbing systems, fixtures, and appliances in residential, commercial, or industrial settings. The role ensures the safe and efficient flow of water, gas, and waste, while complying with safety standards and local regulations"
5188,45999,Electrical and Mechanical Technician,Construction,ENGINEO LTD,Mauritius,15.10.2025,"The Electromechanics Technician is responsible for the installation, maintenance, troubleshooting, and repair of electromechanical equipment and systems. This role combines knowledge of both electrical and mechanical engineering to ensure machines, motors, control systems, and related equipment operate efficiently and safely."
5189,45998,Electrical Technician,Construction,ENGINEO LTD,Mauritius,15.10.2025,"The Electrician Technician is responsible for installing, maintaining, and repairing electrical systems, equipment, and fixtures in compliance with safety regulations and company standards. The role ensures the proper functioning of electrical circuits, panels, wiring, and related components to support daily operations."
5190,45997,Maid,Private Household,SUMAYYA BANU ROSSENKHAN,Mauritius,10.09.2025,HOUSE CLEANING
5191,45996,Personal Assistant,Human Health & Social work activities,PROCARE HEALTH SERVICES LTD,Mauritius,30.09.2025,"Personal & Business Assistant (with Driving Duties)We are seeking a proactive, reliable, and versatile Assistant who holds a valid driving license and can support both personal and business-related tasks. The role combines administrative assistance, safe transportation, and contributing to business development activities. This position is ideal for someone organized, resourceful, and eager to grow within a dynamic work environment."
5192,45995,Maid,Human Health & Social work activities,PROCARE HEALTH SERVICES LTD,Mauritius,30.09.2025,"We are looking for a versatile and trustworthy staff member to handle a combination of duties, including office maintenance, driving, and gardening. The role requires flexibility, reliability, and good time management, as working hours will be distributed among these tasks."
5193,45994,Electro-technician,Construction,ENGINEO LTD,Mauritius,15.10.2025,"The Electromechanic is responsible for installing, maintaining, troubleshooting, and repairing electromechanical systems and equipment. This includes working with electrical circuits, motors, control panels, hydraulic and pneumatic systems, and mechanical assemblies. The role requires technical knowledge in both electrical and mechanical fields to ensure the safe and efficient operation of machines and systems."
5194,45993,Electrician,Construction,ENGINEO LTD,Mauritius,15.10.2025,"The Electrician is responsible for installing, maintaining, and repairing electrical systems, equipment, and fixtures in compliance with established standards, safety regulations, and company policies."
5195,45992,Gardener,Human Health & Social work activities,PROCARE HEALTH SERVICES LTD,Mauritius,30.09.2025,Gardening and cleaning jobMaintenance of property
5196,45991,"Cook, Chinese Cuisine",Restaurant,DUAN CATERING,Mauritius,30.10.2025,New Restaurant in Cacavelle. need 4 cook who is specialize in Chinese Cuisine. need 4 waiters work in front.
5197,45990,"Trainer, ICT",Education,KNOWLEDGEPLUS LTD,Mauritius,30.09.2025,Deliver computer trainingWord during weekendsDelivery tuition
5198,45989,Gardener,Trade,PUSHKAR CO LTD,Mauritius,05.09.2025,"-Maintain and grow the garden to ensure it meets specific requirements-Perform basic maintenance such as cutting the grass, emptying bins-Maintain a clean garden by clearing rubbish and litter from the garden and grounds-Provide guidance to management on matters related to the garden"
5199,45988,Administrative Assistant,Management Consultancy Activities,WISDOM MANAGEMENT CONSULTANCY (MAURITIUS) LTD,Mauritius,10.09.2025,"The Administrative Officer is responsible for providing efficient administrative support to ensure smooth day-to-day operations within an organization. This role involves managing office procedures, coordinating meetings, handling correspondence, maintaining records, and supporting various departments with clerical tasks. The Administrative Officer ensures compliance with company policies and contributes to overall organizational effectiveness."
5200,45987,Gardener,Private Household,YELLAPAH CHETTY PRISCA,Mauritius,08.09.2025,"-Maintain and grow the garden to ensure it meets specific requirements and expectations-Plant and nurture new trees, flowers, and various plants.-Maintain a clean garden by clearing rubbish and litter from the garden and grounds"
5201,45986,Maid,Cleaning Services,BIBI NASEEMA BUNDHOO,Mauritius,03.10.2025,"Responsible for performing a variety of household tasks to ensure a clean, organized, and comfortable living environment. This includes cleaning and maintaining the home, doing laundry, ironing clothes, cooking or assisting in meal preparation, grocery shopping, and sometimes providing care for elderly family members, and pets. The domestic helper will work full-time . They must be trustworthy, hardworking, detail-oriented, and capable of managing time efficiently to complete tasks independently or under minimal supervision."
5202,45985,Marketing Officer/Assistant,Accountancy,SIMPLE ACCOUNTING SOLUTIONS CO. LTD,Mauritius,31.10.2025,"Looking for a full time/ part time or freelance marketing officer to look for prospects for accounting software, set up meetings, follow up.Remuneration will be a basic monthly retainer + commission on successful sales.Flexible working hours"
5203,45984,Housemaid,Private Household,KASHINA RAMHIT AUBEELAUCK,Mauritius,10.09.2025,"Responsible for maintaining cleanliness and order in the household, including cleaning, laundry and assisting with daily household tasks to ensure a neat and hygienic environment"
5204,45983,Maid,Private Household,MR. YASVIN DOOKY,Mauritius,05.09.2025,"The Maid will provide in-house support for childcare, basic caregiving, and household cleaning duties. This role is ideal for someone with a caring nature, a willingness to learn, and a strong sense of responsibility, even without prior experience or formal education."
