Title,Salary,Date Posted,Location,Closing Date,Link
Senior Brand ExecutivePanagora Marketing Co Ltd,Not disclosed,03/09/2025,Mauritius,20/09/2025,https://www.myjob.mu/Jobs/Senior-Brand-Executive-197842.aspx
Accounts Coordinator - Financial AnalystPanagora Marketing Co Ltd,Not disclosed,03/09/2025,Mauritius,20/09/2025,https://www.myjob.mu/Jobs/Accounts-Coordinator-Financial-Analyst-197841.aspx
Téléconseiller(e) – Société FrançaiseJOM Talents Recrutement Ltd,"21,000 - 30,000",03/09/2025,Plaine Wilhems,03/10/2025,https://www.myjob.mu/Jobs/Teleconseiller-e-Societe-Française-197840.aspx
R​e​c​e​p​t​i​o​n​i​s​t​Hilton Mauritius Resort & Spa,Negotiable,03/09/2025,Black River,03/10/2025,https://www.myjob.mu/Jobs/Receptionist-197839.aspx
Babysitter (Part Time)LUX* Grand Baie,Not disclosed,03/09/2025,Riviere du Rempart,25/09/2025,https://www.myjob.mu/Jobs/Babysitter-Part-Time-197838.aspx
Public Area Attendant- Hennessy Park HotelNinety – Six Hotel Collection,Negotiable,03/09/2025,Plaine Wilhems,03/10/2025,https://www.myjob.mu/Jobs/Public-Area-Attendant-Hennessy-Park-197837.aspx
Credit Risk AnalystDHL Global Forwarding (Mauritius) Ltd,Negotiable,03/09/2025,Port Louis,03/10/2025,https://www.myjob.mu/Jobs/Credit-Risk-Analyst-197836.aspx
SERVICE ADVISOR (AXESS LTD)ENL,Not disclosed,03/09/2025,Port Louis,03/10/2025,https://www.myjob.mu/Jobs/SERVICE-ADVISOR-AXESS-LTD-197835.aspx
Systems and Network Engineer (Axess Limited)ENL,Not disclosed,03/09/2025,Port Louis,03/10/2025,https://www.myjob.mu/Jobs/Systems-and-Network-Engineer-Axess-197834.aspx
Company Secretarial AssistantExecutive Services Limited,"21,000 - 30,000",03/09/2025,Port Louis,03/10/2025,https://www.myjob.mu/Jobs/Company-Secretarial-Assistant-197830.aspx
Senior Travel ConsultantsTravel Lounge Ltd,Negotiable,03/09/2025,Port Louis,19/09/2025,https://www.myjob.mu/Jobs/Senior-Travel-Consultants-197833.aspx
Stock ControllerMeaders Feeds Ltd,Negotiable,03/09/2025,Port Louis,03/10/2025,https://www.myjob.mu/Jobs/Stock-Controller-197832.aspx
